,surface,tournament_level,best_of_sets,A_hand,A_has_seed,B_hand,B_has_seed,elo_diff,rank_diff,rank_points_diff,rolling_serve_win_ratio_diff,surface_win_ratio_diff,age_diff,height_cm_diff
0,1,3,3,1,0,1,0,0.0,-163.0,610.0,0.0,0.0,-3.8999999999999986,-2.0
1,1,3,3,1,0,1,0,0.0,-10.0,150.0,0.0,0.0,1.6000000000000014,3.0
2,1,3,3,1,1,1,0,0.0,-12.0,161.0,0.0,0.0,-0.10000000000000142,-3.0
3,1,3,3,1,0,1,0,0.0,-1.0,3.0,0.0,0.0,-5.399999999999999,0.0
4,1,3,3,1,0,1,0,0.0,212.0,-660.0,0.0,0.0,-5.199999999999999,10.0
5,1,3,3,1,0,1,1,0.0,23.0,-260.0,0.0,0.0,6.0,0.0
6,1,3,3,1,1,1,0,0.0,-29.0,348.0,0.0,0.0,2.900000000000002,-3.0
7,1,3,3,0,0,1,0,0.0,-15.0,158.0,0.0,0.0,2.200000000000003,8.0
8,1,3,3,0,0,1,0,0.0,13.0,-165.0,0.0,0.0,-7.699999999999999,-8.0
9,1,3,3,1,0,0,1,0.0,12.0,-192.0,0.0,0.0,-9.0,16.0
10,1,3,3,1,0,1,0,0.0,-18.0,224.0,0.0,0.0,9.099999999999998,-2.0
11,1,3,3,1,0,1,0,0.0,-29.0,284.0,0.0,0.0,6.9999999999999964,5.0
12,1,3,3,1,1,1,0,-20.0,-43.0,768.0,0.0,-0.4717016999281327,-9.8,5.0
13,1,3,3,1,0,1,1,0.0,26.0,-311.0,0.0,0.0,4.300000000000001,0.0
14,1,3,3,1,0,1,1,20.0,32.0,-459.0,0.0,0.4717016999281327,-14.400000000000002,-5.0
15,1,3,3,1,0,1,0,0.0,-209.0,646.0,0.0,0.0,3.599999999999998,3.0
16,1,3,3,0,0,1,1,0.0,9.0,-123.0,0.0,0.0,8.3,3.0
17,1,3,3,0,0,1,1,20.0,49.0,-667.0,0.0,0.4717016999281327,-8.3,-16.0
18,1,3,3,1,0,1,0,0.0,3.0,-14.0,0.0,0.0,7.899999999999999,-15.0
19,1,3,3,1,1,1,0,-20.0,-39.0,1035.0,0.0,-0.4717016999281327,1.9000000000000057,-5.0
20,1,3,3,1,1,1,0,-18.84997744430916,-42.0,744.0,0.0,0.0,-6.600000000000001,0.0
21,1,3,3,1,0,1,0,-1.150022555690839,-8.0,91.0,0.0,0.0,-7.599999999999998,-5.0
22,1,3,3,0,0,0,0,-1.150022555690839,32.0,-387.0,0.0,0.0,-15.400000000000002,-8.0
23,1,3,3,1,1,1,0,-18.84997744430916,-43.0,1050.0,0.0,0.0,4.300000000000004,2.0
24,1,3,3,1,1,1,0,-16.68212676610483,-39.0,703.0,0.0,0.0,1.8999999999999986,5.0
25,1,3,3,0,0,1,1,16.68212676610483,66.0,-1317.0,0.0,0.0,-14.000000000000004,-3.0
26,1,3,3,1,1,0,0,-14.763000530461795,-58.0,946.0,0.0,0.0,1.5,8.0
27,1,3,3,1,0,1,0,0.0,27.0,-610.0,0.0,0.0,11.100000000000001,-10.0
28,1,3,3,1,0,0,0,0.0,4.0,-275.0,0.0,0.0,0.10000000000000142,-2.0
29,1,3,3,1,0,1,0,20.0,-438.0,964.0,0.0,0.4717016999281327,7.0,-10.0
30,1,3,3,1,0,1,0,0.0,23.0,-3925.0,0.0,0.0,3.200000000000003,0.0
31,1,3,3,1,0,1,0,-1.150022555690839,-465.0,1574.0,0.0,0.0,-4.100000000000001,0.0
32,1,3,3,0,0,1,0,0.0,8.0,-3250.0,0.0,0.0,-0.6999999999999993,-8.0
33,1,3,3,1,0,1,0,20.0,-6.0,130.0,0.0,0.4717016999281327,-5.099999999999998,0.0
34,1,3,3,1,0,1,0,20.0,11.0,-1570.0,0.0,0.4717016999281327,-1.8999999999999986,-15.0
35,1,3,3,1,0,1,0,-18.916177822372447,14.0,-391.0,0.0,-0.5,10.3,0.0
36,1,3,3,0,0,1,0,18.84997744430916,7.0,-1295.0,0.0,0.5,-2.0,-13.0
37,1,3,3,1,0,1,0,41.15402844409846,-451.0,1183.0,0.0,0.5,6.199999999999999,0.0
38,1,3,3,1,0,1,0,-2.2340510562676172,-1.0,1955.0,0.0,0.0,-1.3000000000000007,-5.0
39,1,3,3,0,0,1,0,0.0,-72.0,955.0,0.0,0.0,5.700000000000003,3.0
40,1,3,3,1,0,1,0,0.0,24.0,-927.0,0.0,0.0,-4.5,26.0
41,1,3,3,1,0,1,0,0.0,-410.0,1095.0,0.0,0.0,10.3,15.0
42,1,3,3,1,0,1,0,20.0,9.0,-217.0,0.0,0.4717016999281327,-0.3000000000000007,8.0
43,1,3,3,0,0,1,0,0.0,-13.0,365.0,0.0,0.0,-1.5999999999999979,-15.0
44,1,3,3,1,0,1,0,-1.150022555690839,-15.0,710.0,0.0,0.0,4.199999999999999,-18.0
45,1,3,3,1,0,1,0,-20.0,343.0,-454.0,0.0,-0.5282983000718673,-5.400000000000002,0.0
46,1,3,3,1,0,1,0,38.84997744430916,33.0,-4627.0,0.0,0.4717016999281327,-3.5,11.0
47,1,3,3,1,0,0,0,-61.15002255569084,80.0,-1006.0,0.0,-1.0,-3.3000000000000007,0.0
48,1,3,3,1,0,1,0,-17.8390904285784,-9.0,3700.0,0.0,-0.5,-1.0,15.0
49,1,3,3,1,0,1,0,-2.3341529103038283,-67.0,641.0,0.0,0.0,4.899999999999999,15.0
50,1,3,3,1,0,1,0,-42.16928690465147,24.0,-4410.0,0.0,-0.5,-3.1999999999999993,3.0
51,1,3,3,1,0,1,0,0.0,-298.0,1198.0,0.0,0.0,-0.6999999999999993,11.0
52,1,3,3,1,0,1,0,0.0,34.0,-821.0,0.0,0.0,-13.600000000000001,-25.0
53,1,3,3,1,0,1,0,20.0,-247.0,520.0,0.0,0.5282983000718673,5.199999999999999,0.0
54,1,3,3,1,0,1,0,20.0,41.0,-1341.0,0.0,0.4717016999281327,-11.600000000000001,5.0
55,1,3,3,1,0,1,0,-1.150022555690839,51.0,-678.0,0.0,0.0,5.899999999999999,-11.0
56,1,3,3,1,0,1,0,1.150022555690839,-7.0,520.0,0.0,0.0,-2.0,-30.0
57,1,3,3,1,0,1,0,38.84997744430916,-312.0,1723.0,0.0,0.5282983000718673,0.8000000000000007,13.0
58,1,3,3,1,0,1,0,-38.84997744430916,-48.0,4756.0,0.0,-0.4717016999281327,2.8999999999999986,15.0
59,1,3,3,1,0,1,0,17.8390904285784,-14.0,525.0,0.0,0.5,1.5,2.0
60,1,3,3,1,0,1,0,62.1609095714216,-14.0,3935.0,0.0,1.0,-10.700000000000003,-10.0
61,1,3,3,1,0,1,0,-2.1692869046514716,-65.0,1203.0,0.0,0.0,-4.399999999999999,13.0
62,1,3,3,1,0,1,0,37.60271574767239,-7.0,3415.0,0.0,0.5,-8.700000000000003,20.0
63,1,3,3,1,0,1,0,0.0,-399.0,62.0,0.0,0.0,1.7999999999999972,-5.0
64,1,3,3,1,0,1,0,0.0,-26.0,635.0,0.0,0.0,-1.5,16.0
65,1,3,3,0,0,1,0,20.0,-764.0,957.0,0.0,0.5282983000718673,-0.3000000000000007,0.0
66,1,3,3,1,0,1,0,20.0,-4.0,57.0,0.0,0.5282983000718673,-0.5,0.0
